Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
44,1,11,18,5,N,C,N,B,B,D,8,A,B,15,1,A,I,N,77,16,N,3,B,2,40,1,16,4,Y,N,E,2,1
45,1,15,19,2,B,C,N,B,B,B,8,B,B,10,1,A,B,N,61,18,Y,18,A,2,31,1,20,5,Y,N,E,2,11
50,1,12,12,5,B,I,N,B,B,E,12,J,C,15,1,A,K,Y,38,15,N,13,A,2,37,1,2,6,Y,Y,E,4,4
58,1,9,5,2,N,K,N,B,B,E,8,M,B,15,3,A,K,N,18,14,N,13,A,2,25,1,21,6,Y,N,E,2,2
59,1,14,17,5,N,K,Y,B,B,E,3,H,B,10,1,A,R,Y,92,12,N,7,A,2,40,1,12,2,Y,Y,E,2,3
62,0,6,15,2,B,I,Y,B,B,E,8,J,B,10,3,A,K,N,23,7,Y,12,A,1,34,1,18,7,Y,N,E,1,6
63,1,9,21,2,B,I,Y,B,B,E,8,H,B,10,3,A,R,N,32,15,N,10,A,3,40,1,21,1,N,N,C,3,6
67,1,19,11,3,N,H,N,B,B,D,2,B,B,15,1,A,F,N,36,12,Y,12,C,3,25,1,1,7,Y,N,D,3,1
69,0,14,1,1,E,C,N,B,D,D,12,B,B,10,3,A,I,N,72,13,N,6,B,1,34,1,14,6,N,N,A,2,1
72,0,8,18,5,N,K,N,B,B,E,3,H,B,10,1,A,M,N,98,12,N,17,A,2,40,1,1,5,Y,N,E,2,6
73,0,4,7,5,B,I,N,B,B,E,7,H,B,10,2,A,R,Y,60,9,N,5,A,2,37,1,9,4,Y,Y,E,2,2
74,1,19,6,4,C,C,N,B,B,D,8,B,B,10,3,A,E,N,52,17,N,9,C,2,37,1,19,3,Y,N,D,3,1
77,1,12,12,2,W,I,Y,B,B,E,8,H,B,10,1,A,K,N,45,18,N,11,A,2,28,1,7,6,Y,N,E,3,5
79,0,7,12,4,N,B,N,B,B,D,8,A,D,5,1,C,H,N,57,10,Y,6,A,2,34,1,1,7,Y,N,D,2,3
84,1,3,8,6,B,H,N,D,B,E,8,H,B,10,2,H,K,N,7,8,Y,3,B,2,40,1,6,3,Y,N,C,2,1
88,1,7,15,2,B,A,Y,B,B,D,3,B,B,10,2,A,B,N,100,8,N,14,A,1,34,1,1,5,Y,N,E,1,5
93,0,7,1,1,E,A,N,B,B,B,3,B,B,20,1,A,B,N,23,8,N,2,B,2,25,1,10,5,N,N,A,2,1
94,0,5,4,3,B,K,N,B,B,G,3,H,B,20,3,A,R,Y,67,7,N,8,A,2,22,1,17,4,Y,Y,E,2,2
96,1,4,1,1,N,K,N,B,B,E,12,J,B,10,1,A,K,Y,86,6,N,7,C,2,22,1,2,3,Y,Y,E,2,1
98,0,14,6,4,N,C,N,B,B,D,12,B,B,20,1,A,I,N,81,12,N,9,A,2,31,1,3,4,Y,N,D,4,5
100,0,1,9,1,C,A,Y,B,B,B,2,B,B,20,3,N,I,N,39,17,N,19,A,2,31,1,21,3,Y,N,D,2,1
105,1,11,6,4,N,C,Y,B,B,D,2,L,B,20,1,A,I,N,59,12,N,6,A,2,37,1,12,1,Y,N,D,4,3
106,1,16,18,6,H,K,Y,B,B,E,7,J,B,15,3,A,K,N,61,8,N,5,A,2,40,1,9,7,Y,N,E,5,3
109,1,4,18,2,N,A,N,B,B,D,12,B,B,15,1,A,H,N,72,7,N,16,A,2,31,1,13,4,Y,N,E,2,4
110,0,9,10,2,N,C,Y,B,B,D,8,L,B,20,3,A,I,N,49,19,N,22,C,1,40,1,16,3,Y,N,E,1,1
113,1,5,3,2,C,A,Y,B,B,D,3,B,B,10,1,A,B,Y,85,6,N,9,A,2,37,1,17,3,Y,Y,E,5,2
114,1,12,20,6,W,I,N,B,B,E,12,H,B,10,1,A,J,N,49,14,N,12,A,1,40,1,6,6,N,N,A,1,5
116,1,12,20,1,N,C,N,B,B,D,8,L,B,10,1,A,I,Y,62,24,Y,13,B,6,40,2,5,3,Y,Y,E,6,1
117,0,2,19,4,C,A,N,B,B,D,12,A,B,20,2,A,A,N,62,21,N,7,A,2,37,1,25,5,Y,N,E,2,1
118,0,2,16,3,S,H,N,B,B,E,8,H,B,15,3,A,R,N,54,15,N,13,B,2,22,1,24,1,Y,N,E,2,1
120,1,9,20,9,B,H,Y,B,B,F,8,H,B,10,1,A,Q,N,66,13,N,7,B,2,31,1,8,4,Y,N,E,2,1
122,1,19,5,2,B,B,N,B,B,D,12,B,B,10,1,A,B,Y,52,11,N,5,A,2,40,1,2,6,N,N,A,2,3
123,1,9,16,6,N,H,Y,B,B,D,8,B,B,20,1,A,B,N,44,11,N,4,B,2,25,1,19,4,N,N,A,5,1
125,1,12,12,5,N,C,Y,B,B,D,2,L,B,15,1,A,I,N,62,25,Y,14,A,4,28,1,9,5,Y,N,E,4,9
126,0,14,17,2,N,K,N,B,B,F,8,H,B,15,1,A,R,Y,83,19,N,12,A,6,22,2,4,7,Y,Y,E,7,9
127,1,7,16,3,B,A,N,B,B,D,12,B,B,20,1,A,A,N,97,9,N,17,D,2,40,1,1,1,N,N,E,2,4
129,1,17,17,3,B,B,Y,B,B,D,12,B,B,10,3,A,I,N,46,8,N,13,A,2,40,1,11,4,Y,N,E,2,3
132,0,15,22,4,N,C,Y,B,A,D,8,L,B,10,1,A,I,N,52,9,N,9,A,2,40,1,1,4,Y,N,C,3,6
135,1,12,17,4,N,C,Y,B,B,D,7,B,B,15,1,A,B,Y,49,12,N,5,A,2,25,2,8,6,Y,Y,D,2,2
136,1,4,11,6,S,A,N,B,B,D,8,B,B,15,2,A,G,N,76,10,Y,8,B,2,31,1,25,7,Y,N,E,3,6
139,1,8,10,3,N,K,N,A,A,F,12,H,B,15,1,A,N,N,55,11,Y,3,C,1,25,1,23,5,Y,N,E,1,1
140,0,7,8,1,B,A,Y,B,B,D,2,A,B,5,2,A,I,Y,85,11,N,12,B,2,40,1,3,1,Y,Y,E,2,1
141,0,10,20,3,N,H,Y,B,B,D,3,B,B,15,1,A,I,N,35,24,Y,14,C,1,28,1,24,3,Y,N,E,1,1
146,1,8,18,6,N,C,Y,B,B,D,12,B,B,20,1,A,E,N,40,13,N,13,A,2,34,1,17,7,Y,N,E,2,1
149,1,12,17,2,W,C,Y,B,B,D,12,B,D,20,1,A,B,N,40,10,N,11,A,3,37,1,1,7,Y,N,E,3,1
150,0,9,5,4,N,A,Y,B,B,D,3,B,B,10,2,A,B,N,50,9,Y,8,B,1,31,1,16,1,Y,N,E,1,1
151,1,12,13,3,N,H,Y,B,B,E,12,H,B,15,1,A,J,Y,92,12,N,13,B,2,34,1,1,3,Y,Y,E,2,1
153,0,12,18,5,W,H,N,B,B,E,7,J,B,15,1,A,R,N,52,13,Y,12,B,2,40,1,11,4,Y,N,E,2,1
155,0,7,2,2,N,K,Y,B,B,E,3,H,B,10,1,A,N,Y,93,12,Y,14,A,2,40,1,19,6,Y,Y,E,2,1
156,0,9,20,4,N,K,Y,B,B,E,12,H,B,15,3,A,R,N,83,14,N,14,A,1,31,1,6,3,Y,N,C,1,11
157,1,13,18,4,N,K,N,B,B,E,12,I,B,5,1,A,J,N,100,13,Y,19,A,2,37,1,14,1,Y,N,E,2,6
162,1,9,17,4,N,K,Y,B,B,E,8,H,B,10,1,A,R,N,66,14,N,8,A,2,40,1,19,3,N,N,A,5,2
163,1,17,11,6,S,K,Y,B,B,F,8,J,B,15,2,A,R,N,43,9,N,12,A,3,40,1,21,7,Y,N,B,3,2
168,1,8,1,1,N,H,Y,B,B,F,8,H,B,20,1,A,K,N,19,18,Y,7,B,2,25,1,16,3,N,N,A,7,1
172,1,8,18,4,W,H,N,B,B,B,12,L,B,20,1,A,I,N,97,21,N,16,A,2,40,1,19,5,Y,N,E,2,7
173,1,6,12,7,B,A,Y,B,B,D,3,B,B,15,3,A,B,Y,82,8,N,5,A,4,37,1,1,7,Y,Y,E,6,4
174,0,6,14,3,B,A,Y,B,B,D,3,B,B,15,3,A,B,N,34,8,Y,13,A,4,31,1,21,5,Y,N,D,5,11
176,1,19,18,2,B,H,Y,B,B,E,8,J,B,20,1,A,N,N,43,19,N,8,B,2,25,1,17,1,N,N,A,4,1
179,0,3,5,3,N,B,Y,B,B,D,2,B,B,10,1,A,B,N,64,7,Y,7,A,2,28,1,16,2,Y,N,D,7,2
181,1,16,16,1,B,H,N,B,B,E,8,H,B,15,3,A,R,N,30,10,Y,10,D,2,40,1,4,6,Y,N,C,3,9
183,1,7,18,1,N,B,Y,B,B,D,8,B,B,10,2,A,I,N,66,9,N,12,A,2,22,2,21,6,Y,N,E,2,6
187,1,4,5,4,N,K,Y,B,B,E,12,J,B,10,1,A,R,Y,82,9,N,5,A,2,37,1,23,6,Y,Y,E,3,4
188,0,8,20,6,W,I,N,B,B,E,3,J,B,20,1,A,N,Y,80,13,N,7,A,2,37,2,9,4,Y,Y,E,2,3
189,0,9,15,2,N,K,Y,B,B,E,3,H,B,20,1,A,K,N,97,14,N,22,A,2,34,1,19,6,Y,N,E,2,11
193,1,7,15,2,B,K,Y,B,B,E,3,H,B,20,3,A,N,N,97,8,N,15,A,2,37,1,18,3,Y,N,E,2,1
194,1,5,3,2,B,A,N,B,B,D,8,B,B,20,1,A,B,N,63,9,N,3,A,1,25,1,20,2,Y,N,E,1,3
201,1,11,3,2,N,C,N,B,B,D,8,B,B,20,1,A,E,N,30,19,N,2,B,2,34,1,17,6,N,N,A,2,1
202,0,13,18,6,N,H,Y,B,B,F,12,J,B,15,2,A,K,Y,47,14,Y,16,B,2,40,1,1,6,Y,Y,D,2,1
203,1,3,18,1,N,B,Y,B,B,D,2,L,B,10,1,A,I,Y,62,10,N,14,C,2,31,1,16,4,Y,Y,E,2,1
206,1,13,20,4,N,K,Y,B,B,E,7,H,B,10,3,A,K,N,92,17,N,15,A,1,34,1,13,3,Y,N,E,1,10
210,0,7,8,5,H,A,N,B,B,D,3,B,B,20,2,A,B,N,67,6,Y,3,B,2,25,1,8,7,N,N,A,2,1
212,0,2,15,1,C,K,Y,B,B,E,3,J,B,10,2,A,K,N,49,17,N,16,C,2,34,1,23,4,Y,N,E,2,2
213,1,7,17,1,N,A,Y,B,B,D,8,B,D,5,1,A,I,N,13,5,N,9,A,2,40,1,20,6,N,N,A,1,12
214,0,19,3,2,N,C,N,B,B,D,8,B,B,20,2,A,B,N,48,10,N,5,B,2,37,1,5,4,N,N,A,5,1
215,0,4,10,1,N,A,Y,B,B,D,3,A,B,15,3,A,B,N,8,8,N,6,A,2,40,1,12,2,Y,N,C,4,4
218,1,18,15,4,B,I,Y,B,B,E,8,J,B,20,3,A,K,N,38,10,N,11,A,1,40,1,2,7,N,N,A,1,3
219,1,19,16,5,W,C,N,B,B,D,7,B,B,20,1,A,A,N,40,11,N,8,B,2,28,1,18,1,N,N,A,3,5
221,1,13,19,3,N,C,Y,B,B,D,7,B,C,20,1,A,I,N,89,18,Y,14,A,2,40,1,21,7,Y,N,E,2,10
222,1,11,21,1,N,K,Y,B,B,E,7,H,B,20,3,A,K,N,52,28,N,12,A,2,37,1,5,3,Y,N,C,2,3
225,1,7,5,3,B,K,N,B,B,E,12,M,B,10,3,A,R,N,100,10,Y,20,A,2,22,1,17,4,Y,N,C,2,4
226,1,11,18,1,N,K,N,B,B,E,3,H,B,20,1,A,K,N,41,13,Y,16,C,1,28,1,18,4,Y,N,E,1,1
227,1,5,12,3,B,I,N,B,B,E,12,J,B,20,1,A,K,Y,100,5,Y,18,A,1,34,1,11,4,Y,Y,E,1,11
228,1,16,11,7,N,H,N,B,B,E,3,I,B,15,1,A,R,N,11,6,Y,3,B,2,31,1,17,7,N,N,A,2,1
229,0,12,22,2,E,K,N,B,B,E,3,H,B,15,1,H,R,Y,38,19,N,13,A,2,37,1,20,7,Y,Y,E,2,5
231,0,11,19,4,N,C,N,B,C,D,3,L,B,10,1,A,A,N,61,16,Y,10,A,1,40,1,16,5,N,N,A,1,4
233,0,7,15,5,E,H,N,B,B,E,3,I,B,10,3,D,K,N,61,11,Y,3,B,2,31,1,3,3,N,N,E,2,1
234,0,1,19,4,C,K,Y,B,B,E,3,H,B,15,1,A,L,N,31,18,Y,16,A,5,37,1,21,6,N,N,E,1,4
237,1,8,16,2,N,K,Y,B,B,E,12,J,B,20,1,A,K,N,24,18,N,10,A,2,25,1,24,2,Y,N,E,2,5
239,1,14,14,5,N,A,N,B,B,D,3,B,B,10,1,A,I,Y,84,8,N,4,C,2,40,1,8,3,Y,Y,E,2,3
241,1,5,18,7,S,I,N,B,B,E,3,H,B,10,1,A,J,N,36,9,Y,5,A,2,40,1,16,1,Y,N,B,2,2
243,0,7,5,3,B,A,N,B,B,D,2,B,B,10,3,A,B,Y,99,8,N,6,B,2,40,1,14,6,Y,Y,E,2,1
246,1,15,16,4,W,I,Y,B,C,E,3,J,B,10,1,A,R,N,79,16,N,15,A,1,22,1,21,3,Y,N,D,1,11
247,0,12,21,4,B,C,N,B,B,B,8,E,B,20,1,D,I,N,67,21,Y,14,A,2,37,1,15,6,Y,N,E,2,11
249,0,5,24,5,N,D,Y,D,B,D,3,E,B,15,1,A,I,N,91,29,N,8,A,2,31,1,20,4,Y,N,E,2,1
250,1,9,24,3,N,K,N,B,B,E,7,H,B,15,1,A,J,N,97,13,N,17,A,2,25,1,17,7,N,N,A,2,10
252,1,15,13,3,E,K,Y,B,B,F,3,H,B,10,2,H,K,N,44,20,N,6,A,2,37,1,6,1,Y,N,E,2,1
253,1,14,15,8,E,K,N,D,B,F,12,H,C,20,2,A,K,N,83,5,N,8,C,2,37,1,1,5,Y,N,E,2,1
254,1,15,19,3,N,K,N,B,B,E,8,I,B,15,1,A,N,N,23,12,Y,5,A,1,37,1,1,6,Y,N,C,1,2
255,0,15,18,2,N,B,Y,B,B,D,3,B,B,15,1,S,B,N,49,9,Y,13,A,2,40,1,18,3,Y,N,E,2,3
257,0,18,15,2,B,H,Y,B,B,D,3,B,B,10,3,A,B,N,26,13,N,7,A,2,22,1,17,2,Y,N,E,2,2
260,0,17,15,4,N,H,N,B,B,E,8,J,B,10,1,A,K,N,45,10,Y,4,B,2,28,1,9,4,N,N,A,5,1
262,1,4,13,3,W,K,N,B,B,E,8,H,B,15,1,A,J,Y,73,9,Y,4,C,2,31,1,15,7,Y,Y,E,2,1
263,1,14,19,5,N,C,N,B,B,B,12,B,B,10,1,A,I,N,1,30,N,16,A,3,25,1,25,6,Y,N,E,3,11
264,0,19,1,1,N,A,N,B,B,D,3,B,B,15,3,A,B,N,29,8,Y,4,B,2,31,1,20,5,N,N,A,2,1
265,1,10,21,4,N,C,Y,B,B,D,8,L,B,20,1,A,D,N,24,22,N,4,C,1,34,1,4,7,Y,N,E,1,1
266,1,7,9,2,E,A,N,B,B,D,12,B,B,15,3,A,B,N,49,9,N,14,A,2,28,1,16,3,Y,N,E,2,5
269,1,19,4,3,E,A,Y,B,B,B,8,L,B,10,2,A,D,N,36,15,N,15,B,1,37,1,6,1,N,N,A,1,1
271,1,10,16,4,N,H,Y,B,B,E,12,H,B,10,1,A,R,N,26,17,N,4,B,1,37,1,12,4,Y,N,E,1,1
274,0,8,8,3,B,H,Y,B,C,D,8,B,B,20,1,A,B,N,25,13,N,7,B,2,31,1,18,4,N,N,A,3,1
278,1,8,12,2,N,H,N,B,B,D,12,L,B,15,1,A,B,N,69,16,N,6,A,2,34,1,22,6,Y,N,E,2,1
280,1,7,16,5,B,K,Y,B,B,E,12,J,B,10,2,A,R,N,46,11,N,10,A,3,40,1,5,3,N,N,A,3,5
281,1,17,1,1,B,H,N,B,B,E,2,H,B,20,3,A,M,N,21,7,N,12,B,1,25,1,5,6,N,N,A,1,1
282,1,1,11,3,C,A,N,B,B,D,3,F,B,20,3,N,B,N,41,18,N,9,A,3,37,1,21,1,Y,N,D,2,3
285,1,7,5,4,B,A,Y,B,B,D,3,B,B,10,1,A,E,N,90,7,N,18,A,1,31,1,17,2,Y,N,E,1,2
290,0,5,5,1,C,K,N,B,B,E,7,H,B,15,4,N,M,Y,93,10,N,20,A,2,28,1,17,7,Y,Y,E,2,3
291,1,14,11,8,N,H,N,B,B,D,3,A,B,20,3,A,I,N,84,10,Y,6,A,2,34,1,2,6,Y,N,E,3,3
294,0,5,1,1,C,K,N,B,B,F,3,H,C,5,3,D,L,N,100,8,Y,3,A,2,22,1,23,3,Y,N,E,2,1
296,1,13,17,4,N,C,Y,B,B,D,12,E,B,10,1,C,D,N,53,19,N,10,A,5,31,1,14,7,Y,N,E,6,4
298,0,1,20,2,C,A,N,B,B,D,2,L,B,20,3,N,D,N,23,15,Y,19,A,3,31,1,21,7,N,N,A,1,4
299,0,8,5,3,N,C,N,B,B,D,3,B,B,5,1,A,E,N,44,10,Y,6,A,2,40,1,18,5,Y,N,C,4,3
300,1,5,8,6,B,A,N,B,B,D,3,B,B,10,3,A,B,Y,74,8,Y,9,A,4,40,1,15,6,N,Y,E,6,1
302,1,11,8,5,N,K,N,B,B,E,3,J,B,15,1,A,J,N,77,16,N,15,A,1,40,1,20,5,Y,N,E,1,2
306,0,18,5,3,N,A,N,B,B,D,2,A,B,20,3,A,A,N,33,8,N,6,A,2,40,1,25,2,Y,N,E,1,1
307,1,19,4,3,B,K,Y,B,B,E,12,J,B,10,3,A,R,N,20,19,Y,11,A,2,40,1,2,4,Y,N,C,2,7
310,1,4,7,5,N,K,N,B,B,F,7,J,B,10,1,A,J,N,39,10,N,16,A,1,28,1,16,6,N,N,A,1,6
311,1,16,8,6,N,H,Y,B,B,E,7,H,B,10,1,A,K,N,78,10,N,9,E,3,34,1,1,1,N,N,B,4,6
312,1,14,18,2,N,C,Y,B,B,D,12,L,B,10,3,A,I,Y,90,13,Y,10,C,2,31,1,18,7,Y,Y,E,2,4
317,1,18,11,1,N,K,N,B,B,E,8,J,B,10,3,A,L,N,39,7,Y,11,A,1,37,1,6,3,N,N,D,2,3
319,1,18,3,2,N,H,Y,B,A,E,2,H,B,20,2,A,K,N,42,8,N,3,E,2,40,1,8,3,Y,N,E,1,3
321,0,14,11,5,E,K,Y,B,B,E,7,H,B,10,1,A,R,N,67,15,Y,4,A,2,22,1,19,6,N,N,A,2,2
322,1,15,4,3,N,H,N,B,B,D,8,B,B,10,1,A,B,N,39,13,N,9,A,2,34,1,17,5,Y,N,D,5,2
323,1,5,17,4,S,A,N,B,B,D,12,A,B,10,1,A,H,Y,58,9,N,9,C,2,37,1,6,1,Y,Y,E,2,1
329,0,19,7,5,N,A,N,B,B,D,7,B,B,15,3,A,B,N,30,8,N,6,A,1,31,1,3,6,Y,N,E,1,2
330,1,13,2,2,N,B,N,B,B,D,3,L,D,20,1,A,I,N,82,13,Y,17,E,1,40,1,1,7,Y,N,E,1,3
331,1,1,12,2,C,A,Y,B,B,D,8,F,B,5,1,N,B,N,39,13,N,19,A,2,40,1,21,6,Y,N,C,1,2
334,1,13,20,4,G,B,Y,B,B,D,3,L,B,15,1,A,D,N,79,16,Y,11,A,1,34,1,16,4,Y,N,E,1,1
335,1,13,22,4,N,C,N,C,B,D,2,L,C,20,3,A,I,N,35,22,Y,14,E,2,40,2,1,3,Y,N,C,2,1
337,1,13,20,3,N,C,N,B,B,D,3,L,B,20,1,A,A,N,59,18,Y,9,A,2,31,1,11,4,Y,N,C,5,5
338,1,8,5,1,N,K,Y,B,B,E,12,M,B,15,3,A,R,N,13,13,N,7,A,3,28,1,21,5,N,N,A,4,4
341,0,3,20,6,N,H,Y,B,B,E,7,H,B,15,1,A,R,N,75,16,N,2,B,2,37,1,7,4,N,N,A,2,1
343,1,17,4,3,N,A,N,A,B,D,3,B,B,15,3,A,I,N,42,7,Y,6,B,1,37,1,4,2,Y,N,E,1,1
347,1,18,17,2,B,I,Y,B,B,E,8,J,B,15,1,A,K,N,11,9,Y,8,A,2,40,1,14,7,Y,N,E,3,1
348,1,2,15,2,N,K,N,B,B,E,8,H,B,10,3,A,K,N,59,10,N,13,A,4,37,1,25,4,Y,N,E,1,1
350,0,12,3,2,N,K,Y,B,B,E,12,J,B,20,1,A,R,Y,73,11,N,5,C,2,31,1,6,4,Y,Y,E,4,3
351,1,16,18,7,N,A,Y,B,B,B,3,B,B,10,1,A,H,N,58,8,Y,15,A,1,34,1,12,7,N,N,A,1,3
352,1,4,7,2,B,C,N,B,B,D,2,B,B,10,3,A,H,Y,40,12,Y,10,C,2,28,1,20,5,Y,Y,E,2,10
354,1,4,1,1,N,B,Y,B,B,D,8,B,B,15,1,A,B,N,42,8,N,14,A,1,40,1,1,1,Y,N,C,1,1
356,1,8,22,2,E,C,N,B,B,D,8,L,B,15,1,A,I,N,57,21,N,15,A,3,37,1,18,7,Y,N,C,3,8
357,1,13,3,2,E,K,N,B,B,E,12,J,B,20,3,A,K,N,14,17,N,4,A,2,22,1,14,7,N,N,C,4,2
358,0,11,17,6,N,K,N,B,B,E,7,J,B,15,1,A,N,Y,99,14,N,14,A,7,22,1,18,7,Y,Y,E,7,11
359,1,3,4,3,G,H,N,B,C,D,2,L,B,10,1,C,I,N,82,14,N,9,A,2,28,1,2,4,Y,N,C,4,1
361,0,3,4,3,G,B,Y,B,A,D,8,L,B,15,1,A,E,N,85,11,Y,12,A,2,40,1,17,1,Y,N,E,2,2
362,0,4,7,5,N,A,Y,B,B,D,8,B,B,10,4,A,I,N,86,8,N,17,A,1,25,1,12,3,Y,N,C,1,2
364,1,5,18,2,C,K,Y,B,C,E,3,H,B,10,1,A,R,N,53,7,Y,3,A,3,31,1,21,4,Y,N,E,3,2
365,1,15,11,4,N,K,Y,B,B,E,3,H,B,15,1,A,N,Y,85,10,Y,10,A,2,37,1,19,6,Y,Y,C,4,5
368,1,14,4,3,N,K,Y,B,D,E,8,H,B,10,3,A,K,Y,87,14,N,11,A,1,31,1,1,4,Y,Y,E,1,5
370,1,10,11,4,N,H,N,B,B,E,12,J,B,20,1,A,K,N,12,13,N,10,B,2,31,1,8,5,Y,N,D,2,1
373,1,11,23,1,N,C,Y,B,B,D,7,L,B,15,1,A,I,Y,47,18,Y,6,A,4,34,2,2,3,Y,Y,C,4,4
376,1,8,17,3,W,H,N,B,B,D,3,B,B,20,1,A,B,N,42,15,N,4,B,2,37,1,5,1,N,N,A,2,1
377,0,14,9,6,N,K,N,B,B,E,8,J,B,10,4,A,R,N,69,9,Y,9,A,3,37,1,20,3,N,N,A,4,6
380,1,12,22,7,N,C,N,B,B,D,12,L,B,10,1,A,F,Y,64,15,Y,13,C,1,40,1,1,4,Y,Y,E,1,1
383,1,12,20,4,N,H,N,A,D,D,3,L,B,20,1,A,D,N,27,11,N,8,A,2,37,1,1,4,N,N,C,7,5
386,0,7,4,3,N,A,N,A,B,D,7,B,B,5,0,A,B,N,100,9,Y,19,A,2,37,1,8,6,Y,N,E,2,1
391,1,3,15,4,N,A,N,B,B,D,8,L,B,15,1,A,A,N,77,8,N,14,A,2,25,1,20,7,N,N,A,2,9
392,1,10,1,1,N,C,Y,B,D,B,7,L,B,5,2,A,I,N,24,15,N,4,B,2,40,1,1,5,Y,N,E,2,1
396,0,2,4,5,C,A,N,B,B,D,12,B,B,20,3,N,C,N,46,10,Y,11,A,1,34,1,22,6,Y,N,E,2,5
400,0,17,18,4,N,A,N,B,B,D,3,B,B,10,1,A,G,Y,97,8,N,12,A,1,31,1,13,7,Y,Y,C,1,4
401,1,7,3,2,B,A,N,B,B,D,3,B,B,15,3,A,B,N,99,11,N,21,A,2,28,1,6,3,Y,N,E,2,1
402,1,8,23,4,W,I,Y,B,B,E,8,J,B,15,1,A,R,N,77,15,Y,6,A,2,34,1,2,1,Y,N,C,3,3
405,1,14,20,1,B,C,N,B,B,D,12,B,B,10,1,A,I,N,37,13,N,4,B,2,28,1,18,6,Y,N,E,2,1
408,1,9,20,1,B,I,N,D,B,E,12,H,B,15,3,A,R,N,28,11,N,4,A,1,37,1,22,6,Y,N,D,1,1
409,0,6,3,2,W,I,Y,B,B,E,3,H,B,5,2,C,N,Y,89,9,Y,13,A,2,31,1,20,3,Y,Y,E,2,8
414,1,5,3,2,C,K,N,B,B,E,3,H,B,10,3,A,R,N,58,7,N,5,A,2,40,1,7,6,Y,N,E,2,1
415,1,14,19,4,N,B,Y,B,B,D,8,B,B,5,1,A,I,N,34,13,Y,3,A,2,34,1,11,4,Y,N,E,2,1
